Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags
9095,1236,HONDA,FIT,2011,Hatchback,No,Hybrid,1.3,14590 km,4.0,Automatic,Front,04-May,Right-hand drive,Grey,0
19089,1099,SSANGYONG,REXTON,2010,Jeep,Yes,Diesel,2.7,181000 km,4.0,Automatic,Front,04-May,Left wheel,White,4
39026,1172,LEXUS,ES 300,2011,Sedan,Yes,Petrol,3.5,63905 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
16621,1172,MERCEDES-BENZ,E 350,2011,Sedan,Yes,Diesel,3.5,119379 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,12
25365,911,HYUNDAI,Santa FE,2010,Jeep,Yes,Diesel,2.2,149046 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
15681,694,FORD,Transit,2014,Microbus,No,Diesel,2.2 Turbo,168000 km,4.0,Manual,Front,02-Mar,Left wheel,White,0
31361,1249,TOYOTA,Camry,2017,Sedan,Yes,Petrol,2.5,55000 km,6.0,Automatic,Front,04-May,Left wheel,Black,12
13328,1347,HYUNDAI,H1,2008,Minivan,Yes,Diesel,2.5,74444 km,4.0,Automatic,Front,04-May,Left wheel,Yellow,4
53580,765,SSANGYONG,REXTON,2015,Jeep,Yes,Diesel,2,49253 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4
10506,382,HYUNDAI,Sonata,2014,Sedan,Yes,Hybrid,2.4,89000 km,4.0,Automatic,Front,04-May,Left wheel,Silver,10
27284,-,TOYOTA,Camry SE,2014,Sedan,Yes,Petrol,2.5,52000 km,4.0,Tiptronic,Front,04-May,Left wheel,Black,12
30,-,TOYOTA,Prius,2008,Hatchback,No,Hybrid,1.5,100000 km,4.0,Variator,Front,04-May,Left wheel,White,8
314,2410,MERCEDES-BENZ,E 350,2010,Sedan,Yes,Diesel,6.2,274771 km,8.0,Automatic,Rear,04-May,Left wheel,White,12
1960,585,HYUNDAI,Elantra,2013,Sedan,Yes,Petrol,1.8,177590 km,4.0,Automatic,Front,04-May,Left wheel,Grey,12
10663,649,RENAULT,Megane,2010,Universal,No,Diesel,1.5 Turbo,176000 km,4.0,Manual,Front,04-May,Left wheel,Silver,4
22580,-,NISSAN,Juke,2015,Jeep,No,Petrol,1.6 Turbo,77000 km,4.0,Tiptronic,Front,04-May,Left wheel,Black,4
19384,583,HYUNDAI,Elantra,2011,Sedan,Yes,Petrol,1.6,127983 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4
18817,333,FORD,Fusion,2014,Sedan,Yes,Hybrid,2,204800 km,5.0,Automatic,Front,04-May,Left wheel,Grey,6
7370,917,BMW,X6,2013,Jeep,Yes,Petrol,3,179382 km,6.0,Automatic,4x4,04-May,Left wheel,Grey,12
1176,753,KIA,Optima,2012,Sedan,Yes,Petrol,2.4,133605 km,4.0,Automatic,Front,04-May,Left wheel,Black,12
40926,831,SSANGYONG,Actyon,2017,Jeep,Yes,Petrol,1.6,45710 km,4.0,Automatic,Front,04-May,Left wheel,White,4
11290,-,MERCEDES-BENZ,Viano,2004,Minivan,Yes,CNG,3.2,0 km,6.0,Tiptronic,Rear,04-May,Right-hand drive,Carnelian red,8
6272,-,HONDA,Odyssey,2003,Minivan,No,LPG,2.4,226000 km,4.0,Tiptronic,Front,04-May,Right-hand drive,Beige,4
18189,586,TOYOTA,Corolla,2012,Sedan,No,Petrol,1.8,74000 km,4.0,Automatic,Front,04-May,Left wheel,Grey,8
23521,781,TOYOTA,Camry,2012,Sedan,Yes,Hybrid,2.5,52000 km,4.0,Variator,Front,04-May,Left wheel,Silver,12
13015,640,FORD,Fusion,2013,Sedan,No,Petrol,2,91779 km,4.0,Automatic,Front,04-May,Left wheel,Silver,0
15496,836,HYUNDAI,Santa FE,2010,Jeep,Yes,Diesel,2,200221 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
13485,697,VOLKSWAGEN,Passat SE,2015,Sedan,Yes,Petrol,1.8,91103 km,4.0,Automatic,Front,04-May,Left wheel,Black,8
34497,-,MERCEDES-BENZ,ML 350,2011,Jeep,Yes,Petrol,3.5,182400 km,8.0,Automatic,Front,04-May,Left wheel,White,6
228935,-,MERCEDES-BENZ,GLE 63 AMG,2018,Jeep,Yes,Petrol,5.5 Turbo,23000 km,8.0,Tiptronic,4x4,04-May,Left wheel,Black,16
59586,-,MERCEDES-BENZ,GL 550,2011,Jeep,Yes,Petrol,5.5,125000 km,8.0,Tiptronic,4x4,04-May,Left wheel,Grey,12
12544,-,TOYOTA,Prius,2007,Sedan,Yes,Hybrid,1.5,150000 km,4.0,Automatic,Front,04-May,Left wheel,Grey,12
18503,-,HONDA,Cr-v,2007,Jeep,No,Petrol,2.4,88000 km,4.0,Automatic,4x4,04-May,Left wheel,Silver,8
8154,-,NISSAN,Versa,2010,Hatchback,No,Petrol,1.8,1000 km,4.0,Automatic,Front,04-May,Left wheel,Grey,0
15681,891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,235261 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
15681,503,TOYOTA,Prius C,2012,Hatchback,No,Hybrid,1.5,128000 km,4.0,Variator,Front,04-May,Left wheel,Sky blue,8
5959,-,NISSAN,March,2003,Hatchback,No,Petrol,1.4,135000 km,4.0,Automatic,Front,04-May,Right-hand drive,Sky blue,6
30,-,NISSAN,Note,2005,Hatchback,No,Petrol,1.5,156000 km,4.0,Automatic,Front,04-May,Right-hand drive,Green,4
25,-,TOYOTA,Prius,2011,Hatchback,Yes,Hybrid,1.8,11111 km,4.0,Automatic,Front,04-May,Left wheel,White,12
41387,1091,HYUNDAI,H1,2016,Minivan,Yes,Diesel,2.5,110189 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
2822,-,MITSUBISHI,Pajero,1999,Jeep,No,Petrol,1.8,1000 km,4.0,Automatic,4x4,02-Mar,Left wheel,Blue,2
862,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,130478 km,4.0,Automatic,Front,04-May,Left wheel,White,12
17562,640,FORD,Fusion,2013,Sedan,Yes,Hybrid,2,218400 km,4.0,Automatic,Front,04-May,Left wheel,Black,6
220,707,HYUNDAI,Elantra,2011,Sedan,Yes,Petrol,2,233720 km,4.0,Automatic,Front,04-May,Left wheel,Black,12
627,1360,LEXUS,GX 460,2013,Jeep,Yes,Petrol,4.6,243467 km,8.0,Automatic,4x4,04-May,Left wheel,White,0
42334,-,AUDI,A6 QUATTRO,2011,Sedan,Yes,Petrol,2.8,79000 km,6.0,Tiptronic,4x4,04-May,Left wheel,Black,8
21953,562,CHEVROLET,Cruze,2015,Sedan,Yes,Petrol,1.4 Turbo,60800 km,4.0,Tiptronic,Rear,04-May,Left wheel,Silver,12
10976,697,HYUNDAI,Elantra,2015,Sedan,Yes,Petrol,1.8,83902 km,4.0,Automatic,Front,04-May,Left wheel,Grey,0
10976,-,MERCEDES-BENZ,S 500,2002,Sedan,Yes,Petrol,4.3,29000 km,8.0,Automatic,Rear,04-May,Left wheel,Black,10
49751,765,SSANGYONG,REXTON,2015,Jeep,Yes,Diesel,2,62575 km,4.0,Automatic,Front,04-May,Left wheel,Black,4
157,531,NISSAN,Juke,2012,Jeep,Yes,Petrol,1.6,190454 km,4.0,Automatic,4x4,04-May,Left wheel,Black,0
7119,836,HYUNDAI,Sonata,2010,Sedan,Yes,LPG,2,81248 km,4.0,Automatic,Front,04-May,Left wheel,White,4
470,1399,MERCEDES-BENZ,E 350,2010,Sedan,Yes,Diesel,3.5,229904 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12
16308,751,HYUNDAI,Sonata,2013,Sedan,Yes,Petrol,2.4,124800 km,4.0,Tiptronic,Front,04-May,Left wheel,Grey,6
12231,531,FORD,Fusion,2012,Sedan,No,Petrol,1.6 Turbo,82000 km,4.0,Tiptronic,Front,04-May,Left wheel,White,4
49550,1055,MERCEDES-BENZ,ML 350,2013,Jeep,Yes,Petrol,3.5,97400 km,6.0,Tiptronic,4x4,04-May,Left wheel,Black,12
8781,-,HONDA,FIT,2005,Sedan,No,Petrol,1.5,1000 km,4.0,Automatic,Front,04-May,Right-hand drive,Silver,4
706,490,HONDA,Insight,2011,Hatchback,Yes,Hybrid,1.3,288704 km,4.0,Automatic,Front,04-May,Left wheel,White,0
17876,-,VOLKSWAGEN,Jetta,2013,Sedan,Yes,Hybrid,1.4,115200 km,4.0,Tiptronic,Front,04-May,Left wheel,Grey,0
7997,2566,FORD,Mustang,2018,Jeep,Yes,Petrol,5,39576 km,8.0,Automatic,Rear,04-May,Left wheel,Black,12
31581,880,HYUNDAI,Elantra,2018,Sedan,Yes,Petrol,1.6,52000 km,4.0,Automatic,Front,04-May,Left wheel,Red,4
15367,765,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2,339603 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
6586,1190,TOYOTA,Tacoma,2014,Sedan,Yes,Petrol,4,0 km,6.0,Automatic,Rear,04-May,Left wheel,Silver,12
19444,-,PORSCHE,Cayenne S,2003,Jeep,Yes,CNG,4.5,189000 km,8.0,Tiptronic,4x4,04-May,Left wheel,Black,8
32302,-,BMW,X5 M packet,2011,Jeep,Yes,Petrol,4.4 Turbo,170000 km,8.0,Tiptronic,4x4,04-May,Left wheel,Black,12
627,831,TOYOTA,Yaris,2018,Sedan,Yes,Petrol,1.5,42224 km,4.0,Automatic,Front,04-May,Left wheel,Grey,12
2038,1172,MERCEDES-BENZ,ML 350,2011,Jeep,Yes,Diesel,3.5,186542 km,6.0,Automatic,4x4,04-May,Left wheel,White,12
110,765,MERCEDES-BENZ,C 300,2015,Sedan,Yes,Petrol,2,64003 km,4.0,Automatic,Rear,04-May,Left wheel,Silver,12
73071,1646,LEXUS,GX 460,2015,Jeep,Yes,Petrol,4.6,188078 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
42218,1091,HYUNDAI,H1,2016,Minivan,Yes,Diesel,2.5,48800 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
18817,-,TOYOTA,Prius,2009,Sedan,Yes,Hybrid,1.8,288034 km,4.0,Automatic,Front,04-May,Left wheel,Silver,8
19130,764,KIA,Optima,2015,Sedan,Yes,Petrol,2,55073 km,4.0,Automatic,Front,04-May,Left wheel,White,4
10036,-,UAZ,31514,1987,Jeep,Yes,Petrol,2,0 km,4.0,Manual,4x4,04-May,Left wheel,Green,4
17249,531,NISSAN,Juke,2012,Jeep,No,Petrol,1.6 Turbo,99000 km,4.0,Tiptronic,Front,04-May,Left wheel,Black,10
22580,891,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,2,52000 km,4.0,Automatic,Front,04-May,Left wheel,Black,0
706,1850,MERCEDES-BENZ,E 350,2008,Sedan,Yes,Diesel,3.5,122874 km,6.0,Automatic,Rear,04-May,Left wheel,Black,12
81539,1935,LEXUS,GX 460,2016,Jeep,Yes,Petrol,4.6,155976 km,8.0,Automatic,4x4,04-May,Left wheel,White,0
188,781,TOYOTA,Camry,2012,Jeep,Yes,Hybrid,2.5,268683 km,4.0,Automatic,Front,04-May,Left wheel,Blue,12
13877,779,TOYOTA,Camry,2013,Sedan,No,Petrol,2.5,176000 km,4.0,Tiptronic,Front,04-May,Left wheel,Grey,5
10032,639,CHEVROLET,Orlando,2013,Jeep,Yes,Diesel,2,71340 km,4.0,Automatic,Front,04-May,Left wheel,Black,4
21500,1054,MERCEDES-BENZ,Vito,2009,Goods wagon,No,Diesel,2.2 Turbo,165738 km,4.0,Manual,Rear,04-May,Left wheel,White,6
16621,475,CHEVROLET,Volt,2012,Sedan,No,Hybrid,1.4,100000 km,4.0,Automatic,Front,04-May,Left wheel,Silver,8
37633,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,194067 km,4.0,Automatic,Front,04-May,Left wheel,Black,4
42337,1277,JEEP,Compass,2018,Jeep,Yes,Petrol,2.4,16500 km,4.0,Automatic,4x4,04-May,Left wheel,Black,12
15681,-,MERCEDES-BENZ,E 320,2003,Sedan,Yes,Petrol,3.2,222000 km,6.0,Tiptronic,Rear,04-May,Left wheel,Black,14
5645,1440,OPEL,Combo,2002,Goods wagon,No,Diesel,1.7 Turbo,167000 km,4.0,Manual,Front,04-May,Left wheel,White,1
7527,779,SUBARU,Forester,2013,Jeep,Yes,Petrol,2.5,263459 km,4.0,Automatic,4x4,04-May,Left wheel,Blue,0
11099,645,CHEVROLET,Lacetti,2011,Sedan,Yes,Petrol,1.8,142600 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
706,574,HONDA,Insight,2010,Hatchback,Yes,Hybrid,1.3,189571 km,4.0,Automatic,Front,04-May,Left wheel,Silver,0
314,585,HYUNDAI,Elantra,2013,Sedan,Yes,Petrol,1.8,157859 km,4.0,Automatic,Front,04-May,Left wheel,Black,12
157,915,AUDI,A7,2014,Hatchback,Yes,Petrol,3,401128 km,6.0,Automatic,4x4,04-May,Left wheel,Grey,0
11917,-,MITSUBISHI,Pajero,2002,Jeep,No,CNG,3,174000 km,6.0,Tiptronic,4x4,04-May,Right-hand drive,Silver,2
470,891,AUDI,A3,2016,Sedan,Yes,Petrol,2,70414 km,4.0,Automatic,4x4,04-May,Left wheel,White,12
45473,765,BMW,X3 SDRIVE,2015,Jeep,Yes,Petrol,2.0 Turbo,60400 km,4.0,Tiptronic,Rear,04-May,Left wheel,Brown,12
68994,-,MERCEDES-BENZ,GL 450,2012,Jeep,Yes,Petrol,4.7 Turbo,96000 km,8.0,Tiptronic,4x4,04-May,Left wheel,Black,8
10000,1268,HONDA,Fred,2012,Minivan,No,Petrol,1.5,90000 km,4.0,Automatic,Front,04-May,Right-hand drive,Silver,4
17923,862,HYUNDAI,H1,2011,Universal,Yes,Diesel,2.5,189347 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4
49550,-,AUDI,Q7,2010,Jeep,Yes,Diesel,4.2 Turbo,178000 km,8.0,Tiptronic,4x4,04-May,Left wheel,Black,12
37633,915,AUDI,A8,2014,Sedan,Yes,Diesel,3,68006 km,6.0,Automatic,4x4,04-May,Left wheel,White,12
15053,765,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2,290431 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
15257,707,HYUNDAI,Sonata,2011,Sedan,Yes,Petrol,2,204632 km,4.0,Automatic,Front,04-May,Left wheel,White,4
69935,1646,LEXUS,GX 470,2015,Jeep,Yes,Petrol,4.6,273493 km,8.0,Automatic,4x4,04-May,Left wheel,Silver,0
11917,574,HONDA,Insight,2010,Sedan,No,Petrol,1.3,171200 km,4.0,Tiptronic,Front,04-May,Left wheel,Red,0
14740,-,TOYOTA,Prius,2008,Hatchback,Yes,Hybrid,1.5,193000 km,4.0,Automatic,Front,04-May,Left wheel,Silver,12
21326,-,AUDI,A5 Sportback,2008,Coupe,Yes,Petrol,3.2,203000 km,6.0,Tiptronic,4x4,02-Mar,Left wheel,Black,12
15681,891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,219432 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
470,1750,TOYOTA,Highlander,2008,Jeep,Yes,Hybrid,3.3,182024 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12
1098,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,398069 km,4.0,Automatic,Front,04-May,Left wheel,Black,12
15681,891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,263886 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
23521,-,SUBARU,Forester,2013,Jeep,Yes,Petrol,2.5,80000 km,6.0,Tiptronic,4x4,04-May,Left wheel,Silver,12
15994,-,TOYOTA,Prius,2010,Hatchback,No,Hybrid,1.8,182000 km,4.0,Variator,Front,04-May,Left wheel,Silver,0
103491,-,TOYOTA,Land Cruiser 200,2012,Jeep,Yes,Diesel,4.5 Turbo,80000 km,8.0,Tiptronic,4x4,04-May,Left wheel,Grey,12
2600,1529,OPEL,Vectra,1995,Sedan,No,CNG,1.8,999999999 km,4.0,Manual,Front,04-May,Left wheel,Green,4
19121,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,103490 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
282,640,FORD,Fusion,2013,Sedan,Yes,Hybrid,2,174619 km,4.0,Automatic,Front,04-May,Left wheel,Grey,0
15367,-,FORD,Fusion,2009,Sedan,Yes,Petrol,2.5,312000 km,4.0,Automatic,Front,04-May,Left wheel,Silver,6
19369,707,HYUNDAI,Genesis,2011,Coupe,Yes,Petrol,2,153651 km,4.0,Automatic,Front,04-May,Left wheel,Red,4
52059,1363,LEXUS,GX 460,2012,Jeep,Yes,Petrol,4.6,229334 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
2822,382,FORD,Fusion,2015,Sedan,Yes,Hybrid,2,100747 km,4.0,Automatic,Front,04-May,Left wheel,Green,0
18817,751,HYUNDAI,Sonata,2013,Sedan,Yes,Hybrid,2.4,0 km,4.0,Automatic,Rear,04-May,Left wheel,Silver,8
94,779,SUBARU,Forester,2013,Jeep,Yes,Petrol,2.5,74688 km,4.0,Automatic,4x4,04-May,Left wheel,Silver,0
16151,1018,BMW,328,2011,Sedan,Yes,Petrol,3,135000 km,6.0,Tiptronic,4x4,04-May,Left wheel,Silver,12
56340,864,JEEP,Wrangler,2012,Jeep,Yes,Diesel,2.8,141173 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
1725,1324,TOYOTA,Highlander,2010,Sedan,Yes,Hybrid,3.3,226198 km,6.0,Automatic,4x4,04-May,Left wheel,Green,12
10192,761,DAEWOO,Lacetti,2010,Sedan,Yes,Petrol,1.8,46527 km,4.0,Automatic,Front,04-May,Left wheel,Black,4
7840,-,OPEL,Vectra,2000,Universal,No,Petrol,1.8,217500 km,4.0,Manual,Front,04-May,Left wheel,Silver,4
470,1249,TOYOTA,Camry,2017,Sedan,Yes,Petrol,2.5,96093 km,4.0,Automatic,Front,04-May,Left wheel,Red,12
31361,-,DODGE,Challenger,2013,Coupe,Yes,Petrol,3.6,85000 km,6.0,Tiptronic,Rear,02-Mar,Left wheel,Silver,10
14269,1324,TOYOTA,Highlander,2010,Jeep,Yes,Hybrid,3.3,300366 km,6.0,Automatic,4x4,04-May,Left wheel,Blue,12
6272,-,MERCEDES-BENZ,E 320,1999,Sedan,Yes,CNG,3.2,205000 km,6.0,Automatic,Rear,04-May,Left wheel,Silver,6
17562,1077,VOLKSWAGEN,Jetta,2019,Sedan,Yes,Petrol,2,6565 km,4.0,Automatic,Front,04-May,Left wheel,Silver,12
25591,528,HYUNDAI,Elantra,2014,Sedan,Yes,Petrol,1.6,120000 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
17249,753,KIA,Optima,2012,Sedan,Yes,Hybrid,2.4,132300 km,6.0,Tiptronic,Front,04-May,Left wheel,White,10
12388,761,TOYOTA,Prius,2010,Sedan,Yes,Hybrid,1.8,231003 km,4.0,Automatic,Front,04-May,Left wheel,Golden,10
30000,697,MERCEDES-BENZ,Vito,2012,Minivan,No,Diesel,2.2,170000 km,4.0,Automatic,Rear,04-May,Left wheel,Black,4
9408,-,LINCOLN,Town Car,1999,Sedan,No,CNG,4.6,18000 km,8.0,Automatic,Rear,04-May,Left wheel,Silver,8
62023,971,MERCEDES-BENZ,E 220,2016,Sedan,Yes,Diesel,2.2 Turbo,121400 km,4.0,Tiptronic,Rear,04-May,Left wheel,Black,12
59586,-,MERCEDES-BENZ,Vito,2016,Minivan,Yes,Diesel,2.2 Turbo,212000 km,4.0,Automatic,Rear,04-May,Left wheel,Silver,0
19757,-,TOYOTA,Prius,2012,Sedan,No,Hybrid,1.8,1360000 km,4.0,Automatic,Front,04-May,Left wheel,Silver,10
106668,1176,HYUNDAI,Santa FE,2019,Minivan,Yes,Diesel,2.2,14480 km,4.0,Automatic,Front,04-May,Left wheel,White,4
14113,764,CHEVROLET,Malibu,2015,Sedan,Yes,Petrol,2,33034 km,4.0,Automatic,Front,04-May,Left wheel,Black,4
8154,642,FORD,Focus,2012,Sedan,No,Petrol,2,111284 km,4.0,Automatic,Front,04-May,Left wheel,Blue,12
17249,-,BMW,X5,2004,Jeep,Yes,LPG,4.4,240000 km,8.0,Tiptronic,4x4,04-May,Left wheel,Black,8
11290,891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,270874 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
22000,777,TOYOTA,Camry,2014,Sedan,No,Petrol,2.5,107000 km,4.0,Automatic,Front,04-May,Left wheel,Grey,12
13877,836,HYUNDAI,Sonata,2010,Sedan,Yes,Petrol,2,148769 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
20526,629,HYUNDAI,Elantra,2015,Sedan,Yes,Petrol,1.6,75000 km,4.0,Automatic,Front,04-May,Left wheel,White,4
314,1017,MERCEDES-BENZ,GLA 250,2017,Jeep,Yes,Petrol,2,46413 km,4.0,Automatic,4x4,04-May,Left wheel,Blue,0
13172,551,CHEVROLET,Spark,2017,Sedan,Yes,Petrol,1,33118 km,4.0,Automatic,Front,04-May,Left wheel,White,4
15994,1104,BMW,X5,2015,Jeep,Yes,Petrol,3,204461 km,6.0,Automatic,4x4,04-May,Left wheel,White,0
3293,645,LEXUS,CT 200h,2011,Hatchback,Yes,Hybrid,1.8,224267 km,4.0,Automatic,Front,04-May,Left wheel,Silver,0
15053,-,FORD,Focus,2014,Sedan,No,Petrol,2,33000 km,4.0,Tiptronic,Front,04-May,Left wheel,Carnelian red,10
31361,-,MERCEDES-BENZ,Sprinter,2004,Microbus,Yes,Diesel,2.7 Turbo,200000 km,5.0,Manual,Rear,02-Mar,Left wheel,White,2
14426,761,TOYOTA,Prius,2010,Sedan,No,Hybrid,1.8,170000 km,4.0,Variator,Front,04-May,Left wheel,Blue,10
9252,765,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2,571115 km,4.0,Automatic,Front,04-May,Left wheel,Orange,4
29479,-,MERCEDES-BENZ,S 550,2006,Sedan,Yes,Petrol,5.5 Turbo,128000 km,8.0,Tiptronic,Rear,04-May,Left wheel,Black,12
8467,-,MAZDA,Mazda 3,2005,Sedan,No,Petrol,2.3,65000 km,4.0,Tiptronic,Front,04-May,Left wheel,Grey,8
125,2278,TOYOTA,Prius,2008,Hatchback,Yes,Hybrid,1.5,147000 km,4.0,Automatic,Front,04-May,Right-hand drive,Silver,0
55678,880,HYUNDAI,Tucson,2018,Jeep,Yes,Petrol,1.6,19961 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
34497,934,TOYOTA,RAV 4,2015,Sedan,No,Petrol,2.5,74000 km,4.0,Automatic,Front,04-May,Left wheel,Grey,0
17562,765,SSANGYONG,Korando,2015,Universal,Yes,Diesel,2,43740 km,4.0,Automatic,Front,04-May,Left wheel,White,4
20385,-,MITSUBISHI,Outlander,2009,Jeep,Yes,Petrol,3,0 km,6.0,Tiptronic,4x4,04-May,Left wheel,Silver,10
11992,1047,HYUNDAI,Elantra,2007,Sedan,Yes,Petrol,1.6,150863 km,4.0,Automatic,Front,04-May,Left wheel,White,4
392,697,HYUNDAI,Elantra,2015,Sedan,Yes,Petrol,1.8,154045 km,4.0,Automatic,Front,04-May,Left wheel,White,12
20385,586,TOYOTA,Prius,2012,Hatchback,Yes,Petrol,1.8,119230 km,4.0,Automatic,Front,04-May,Left wheel,Silver,8
10976,765,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2,619021 km,4.0,Automatic,Front,04-May,Left wheel,White,4
16400,-,TOYOTA,Prius,2011,Hatchback,Yes,Hybrid,1.8,124000 km,4.0,Variator,Front,04-May,Left wheel,Grey,12
941,1935,TOYOTA,Tundra,2016,Jeep,Yes,Petrol,4.6,254805 km,8.0,Automatic,4x4,04-May,Left wheel,White,12
23521,-,FORD,Transit,1996,Microbus,No,Diesel,2.5,123000 km,4.0,Manual,Rear,04-May,Left wheel,White,2
27065,730,HYUNDAI,Elantra,2016,Sedan,Yes,LPG,1.6,71000 km,4.0,Automatic,Front,04-May,Left wheel,White,4
10036,639,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2,335782 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
24029,1099,SSANGYONG,REXTON,2010,Jeep,Yes,Diesel,2.7,151949 km,4.0,Automatic,Front,04-May,Left wheel,Black,4
188,1185,FORD,Escape,2009,Jeep,Yes,Hybrid,2.5,196682 km,4.0,Automatic,Front,04-May,Left wheel,Black,0
39829,1811,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,155821 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
784,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,102397 km,4.0,Automatic,Front,04-May,Left wheel,Black,12
18189,-,DODGE,Charger RT,2006,Sedan,Yes,LPG,5.7,225000 km,8.0,Automatic,Rear,04-May,Left wheel,Black,12
6115,-,VOLKSWAGEN,Jetta,2000,Sedan,No,LPG,2,33000 km,4.0,Manual,Front,04-May,Left wheel,Carnelian red,4
8781,-,MITSUBISHI,Colt,2005,Hatchback,No,Petrol,1.5 Turbo,157000 km,4.0,Tiptronic,Front,04-May,Right-hand drive,Silver,5
7213,-,OPEL,Combo,2003,Goods wagon,No,Diesel,1.7 Turbo,253033 km,4.0,Manual,Front,02-Mar,Left wheel,Black,1
5488,1553,CHEVROLET,Avalanche,2013,Sedan,Yes,Petrol,5.3,186448 km,8.0,Automatic,Front,04-May,Left wheel,Black,12
2500,-,OPEL,Corsa,1996,Coupe,No,Petrol,1.4,280000 km,4.0,Manual,Front,02-Mar,Left wheel,Blue,0
21395,629,HYUNDAI,I30,2015,Hatchback,Yes,Diesel,1.6,170000 km,4.0,Automatic,Front,04-May,Left wheel,White,4
20385,308,TOYOTA,Prius,2014,Hatchback,Yes,Hybrid,1.8,59000 km,4.0,Variator,Front,04-May,Left wheel,Black,9
54518,831,HYUNDAI,Tucson,2017,Jeep,Yes,Petrol,1.6,40193 km,4.0,Automatic,Front,04-May,Left wheel,Black,4
15681,1055,MERCEDES-BENZ,E 350,2013,Sedan,Yes,Petrol,3.5 Turbo,140800 km,6.0,Automatic,4x4,04-May,Left wheel,Black,0
37633,1514,MERCEDES-BENZ,GL 450,2011,Jeep,Yes,Petrol,4.6,88000 km,8.0,Automatic,4x4,04-May,Left wheel,Black,10
18189,-,HYUNDAI,Elantra,2011,Sedan,Yes,Petrol,1.8,121600 km,4.0,Tiptronic,Front,04-May,Left wheel,Brown,4
9408,-,MERCEDES-BENZ,E 320,1998,Sedan,Yes,CNG,3.2,230000 km,6.0,Automatic,Rear,04-May,Left wheel,Black,6
42651,1017,MERCEDES-BENZ,GLA 250,2017,Jeep,Yes,Petrol,2,44995 km,4.0,Automatic,4x4,04-May,Left wheel,Black,0
13500,1502,LEXUS,CT 200h,2014,Universal,Yes,Hybrid,1.8,60000 km,4.0,Automatic,Front,04-May,Right-hand drive,White,6
2195,-,TOYOTA,Will Vs,2002,Hatchback,No,Petrol,1.8,150000 km,4.0,Automatic,Front,04-May,Right-hand drive,Silver,4
21639,-,MERCEDES-BENZ,E 280,2008,Sedan,Yes,Diesel,2.8 Turbo,284500 km,6.0,Tiptronic,Rear,04-May,Left wheel,Silver,12
26657,919,MERCEDES-BENZ,ML 350,2012,Jeep,Yes,Diesel,3,271701 km,6.0,Automatic,4x4,04-May,Left wheel,White,12
30,-,HONDA,FIT,2005,Hatchback,No,Petrol,1.3,0 km,4.0,Automatic,Front,04-May,Right-hand drive,Silver,4
39201,1104,AUDI,Q5,2015,Jeep,Yes,Petrol,3,54683 km,6.0,Tiptronic,4x4,04-May,Left wheel,Black,12
