model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 Focus,2019,19000,Automatic,12859,Petrol,145,41.5,1.0
 Focus,2018,14995,Manual,16611,Petrol,145,60.1,1.0
 C-MAX,2013,6498,Manual,45536,Diesel,30,62.8,1.6
 Focus,2019,16800,Manual,30,Petrol,145,58.9,1.0
 Fiesta,2017,9770,Manual,9766,Petrol,145,64.2,1.1
 Mondeo,2015,13689,Semi-Auto,31255,Diesel,125,58.9,2.0
 Focus,2018,16995,Automatic,10688,Diesel,145,74.3,1.5
 Kuga,2018,16999,Manual,32713,Diesel,145,54.3,2.0
 Fiesta,2018,9880,Manual,20860,Petrol,145,65.7,1.0
 Fiesta,2016,7490,Manual,16826,Petrol,125,54.3,1.2
 Fiesta,2018,9500,Manual,21590,Petrol,145,65.7,1.0
 Fiesta,2018,10850,Manual,12000,Petrol,145,65.7,1.0
 Focus,2009,2995,Manual,93400,Petrol,200,42.2,1.6
 Fiesta,2017,9950,Manual,17502,Petrol,150,65.7,1.0
 Fiesta,2012,5366,Manual,54754,Petrol,145,48.7,1.4
 Focus,2019,15750,Manual,14195,Petrol,145,58.9,1.0
 Focus,2017,11298,Manual,17530,Diesel,0,74.3,1.5
 Edge,2017,20800,Semi-Auto,36763,Diesel,200,47.9,2.0
 Kuga,2019,20847,Manual,10233,Diesel,145,47.9,2.0
 Focus,2017,18900,Manual,12811,Petrol,200,41.5,2.0
 Fiesta,2016,9000,Manual,40789,Petrol,20,62.8,1.0
 Focus,2018,13000,Manual,39448,Diesel,150,74.3,1.5
 Fiesta,2017,7491,Manual,36952,Petrol,150,54.3,1.2
 Ka+,2019,10630,Manual,3257,Petrol,145,47.9,1.2
 Fiesta,2012,5295,Automatic,78500,Petrol,165,42.8,1.4
 C-MAX,2017,11798,Manual,10479,Diesel,20,68.9,1.5
 Fiesta,2014,6999,Manual,47269,Petrol,30,54.3,1.2
 B-MAX,2013,5495,Semi-Auto,52209,Petrol,160,44.1,1.6
 Fiesta,2017,8990,Manual,14461,Petrol,125,54.3,1.2
 Kuga,2017,16200,Semi-Auto,23027,Diesel,145,58.9,1.5
 Fiesta,2019,12490,Manual,2623,Petrol,145,48.7,1.1
 Edge,2018,23995,Automatic,18339,Diesel,145,48.7,2.0
 Fiesta,2018,10999,Manual,31620,Diesel,145,58.9,1.5
 Focus,2019,17900,Automatic,10611,Petrol,145,42.8,1.0
 Fiesta,2017,11298,Manual,23358,Petrol,20,62.8,1.0
 C-MAX,2016,10491,Manual,24267,Diesel,20,68.9,1.5
 Fiesta,2017,8950,Manual,36246,Petrol,145,65.7,1.0
 Focus,2017,10790,Manual,8000,Petrol,150,61.4,1.0
 Fiesta,2019,15995,Manual,10956,Petrol,145,58.9,1.0
 Focus,2017,12380,Automatic,24111,Petrol,145,46.3,1.5
 Focus,2019,14590,Manual,3648,Petrol,145,58.9,1.0
 Fiesta,2017,9995,Manual,16279,Petrol,150,64.2,1.1
 Focus,2018,17400,Manual,11616,Petrol,145,41.5,2.0
 Fiesta,2017,10498,Manual,22125,Petrol,0,65.7,1.0
 Kuga,2014,9495,Manual,66500,Diesel,200,47.9,2.0
 Focus,2018,12300,Manual,29568,Diesel,145,80.7,1.5
 Focus,2019,15295,Manual,7196,Petrol,145,58.9,1.0
 Fiesta,2013,5949,Manual,52135,Diesel,0,85.6,1.6
 Fiesta,2018,9995,Manual,28834,Petrol,145,65.7,1.0
 Focus,2018,12295,Manual,13500,Petrol,145,60.1,1.0
 Tourneo Custom,2018,21995,Manual,14986,Diesel,145,30.1,2.0
 Kuga,2017,16800,Manual,8511,Diesel,125,60.1,2.0
 Fiesta,2017,10200,Manual,31804,Diesel,0,78.5,1.5
 EcoSport,2019,15799,Manual,1525,Petrol,145,51.4,1.0
 Fiesta,2017,9000,Manual,24688,Petrol,150,54.3,1.2
 Fiesta,2018,11295,Manual,7100,Petrol,150,65.7,1.0
 Focus,2017,10499,Manual,29396,Diesel,0,74.3,1.5
 Fiesta,2017,8498,Manual,22864,Petrol,150,64.2,1.1
 Kuga,2019,19999,Manual,4185,Diesel,145,47.9,2.0
 Mondeo,2012,3499,Manual,124000,Diesel,30,65.7,1.6
 Fiesta,2017,9930,Manual,21387,Petrol,145,65.7,1.0
 Focus,2019,17500,Manual,1757,Petrol,145,53.3,1.5
 Kuga,2018,18500,Manual,2732,Diesel,145,47.9,2.0
 C-MAX,2017,11498,Manual,11005,Petrol,150,44.1,1.6
 Focus,2019,17995,Manual,90,Petrol,145,49.6,1.0
 Ka+,2018,7699,Manual,16241,Petrol,145,57.7,1.2
 Fiesta,2019,12490,Manual,2583,Petrol,145,48.7,1.1
 Fiesta,2017,11998,Manual,9177,Petrol,20,62.8,1.0
 Fiesta,2011,5176,Manual,50234,Diesel,20,68.9,1.4
 EcoSport,2019,17500,Semi-Auto,1692,Petrol,145,45.6,1.0
 Fiesta,2015,7490,Manual,49121,Petrol,0,65.7,1.0
 Grand C-MAX,2016,11999,Automatic,8656,Diesel,30,58.9,1.5
 Fiesta,2018,9200,Manual,21000,Petrol,145,65.7,1.0
 Focus,2016,8551,Manual,36026,Petrol,20,60.1,1.0
 Kuga,2019,18890,Manual,13301,Diesel,145,54.3,1.5
 Kuga,2019,16995,Manual,13255,Diesel,145,47.9,2.0
 Fiesta,2016,8500,Manual,64866,Petrol,145,47.9,1.6
 Focus,2018,13500,Manual,11941,Petrol,145,57.7,1.0
 Focus,2018,17495,Automatic,5300,Diesel,150,67.3,1.5
 Fiesta,2018,10950,Manual,17090,Petrol,145,65.7,1.0
 Fiesta,2018,9998,Manual,8608,Petrol,145,55.4,1.1
 Kuga,2015,10800,Manual,31593,Diesel,125,60.1,2.0
 Focus,2018,18495,Manual,13938,Petrol,145,41.5,2.0
 KA,2014,4499,Manual,31599,Petrol,30,57.7,1.2
 Fiesta,2019,13200,Manual,2803,Petrol,145,58.9,1.0
 Ka+,2019,11199,Manual,2591,Petrol,145,43.5,1.2
 Mondeo,2015,7561,Manual,98438,Diesel,30,64.2,2.0
 Fiesta,2016,8000,Manual,13440,Petrol,125,54.3,1.2
 EcoSport,2018,14090,Manual,13399,Petrol,145,54.3,1.0
 Focus,2017,10598,Manual,14212,Petrol,145,60.1,1.0
 Grand C-MAX,2017,12950,Manual,14369,Diesel,150,64.2,1.5
 Focus,2019,15420,Manual,7294,Petrol,145,60.1,1.0
 Focus,2017,10498,Manual,25680,Petrol,150,60.1,1.0
 Fiesta,2018,11000,Manual,10177,Petrol,150,65.7,1.0
 Mondeo,2018,13699,Automatic,40517,Diesel,145,45.6,2.0
 Grand Tourneo Connect,2019,19000,Manual,4284,Diesel,145,61.4,1.5
 Fiesta,2017,11000,Manual,23722,Petrol,145,65.7,1.0
 Kuga,2018,20795,Manual,13425,Diesel,145,39.2,2.0
 Kuga,2019,16450,Manual,10265,Diesel,145,54.3,1.5
 Mondeo,2017,14498,Automatic,14790,Petrol,165,44.8,1.5
 Focus,2019,18500,Automatic,11716,Diesel,145,74.3,1.5
 Focus,2016,9690,Manual,46176,Diesel,0,74.3,1.5
 EcoSport,2019,17400,Semi-Auto,5,Petrol,145,45.6,1.0
 Focus,2018,17995,Manual,5297,Diesel,145,57.7,1.5
 Fiesta,2017,8997,Manual,9965,Petrol,125,54.3,1.2
 Focus,2017,11498,Manual,22213,Diesel,0,74.3,1.5
 Fiesta,2013,6298,Manual,33627,Petrol,30,54.3,1.2
 Fiesta,2017,7872,Manual,26864,Petrol,0,65.7,1.0
 Mustang,2020,37990,Automatic,2450,Petrol,145,22.1,5.0
 Fiesta,2018,11995,Automatic,20000,Petrol,145,48.7,1.0
 Focus,2017,9990,Manual,42500,Diesel,150,74.3,1.5
 Kuga,2015,7991,Manual,128000,Diesel,145,54.3,2.0
 Fiesta,2015,6998,Manual,32775,Petrol,125,54.3,1.2
 Fiesta,2019,11498,Manual,14604,Petrol,145,58.9,1.0
 Kuga,2017,17475,Manual,33800,Diesel,145,54.3,2.0
 EcoSport,2019,17400,Automatic,1872,Petrol,145,44.1,1.0
 Fiesta,2020,14500,Manual,10,Petrol,145,56.5,1.0
 Grand Tourneo Connect,2019,16930,Manual,15297,Diesel,145,61.4,1.5
 Grand C-MAX,2017,14489,Manual,7953,Diesel,150,64.2,1.5
 Fiesta,2019,16690,Manual,6760,Petrol,145,40.3,1.5
 Focus,2018,12499,Manual,26100,Diesel,150,74.3,1.5
 Galaxy,2019,24399,Manual,16764,Diesel,145,55.4,2.0
 Fiesta,2009,3695,Manual,45962,Petrol,145,49.6,1.2
 Focus,2019,18700,Automatic,3095,Diesel,145,64.2,2.0
 Focus,2017,13000,Manual,12456,Petrol,150,57.7,1.0
 Kuga,2019,20000,Manual,7213,Diesel,145,47.9,2.0
 Focus,2017,8540,Manual,35210,Petrol,20,61.4,1.0
 EcoSport,2017,10499,Manual,20283,Petrol,145,53.3,1.0
 Fiesta,2018,9997,Manual,17476,Petrol,145,64.2,1.1
 Fiesta,2018,13500,Manual,3871,Petrol,145,58.9,1.0
 Fiesta,2018,13499,Manual,5238,Petrol,145,61.4,1.0
 Kuga,2017,14698,Automatic,24799,Petrol,240,38.2,1.5
 Fiesta,2018,12999,Automatic,7706,Petrol,145,54.3,1.0
 Kuga,2019,20499,Manual,2554,Diesel,150,47.9,2.0
 Fiesta,2018,12000,Manual,9684,Petrol,150,60.1,1.0
 Focus,2017,8900,Manual,46134,Petrol,145,60.1,1.0
 Grand C-MAX,2017,11498,Manual,27070,Diesel,150,64.2,1.5
 Fiesta,2019,12500,Manual,10956,Petrol,145,60.1,1.0
 Fiesta,2016,8998,Manual,6146,Petrol,125,54.3,1.2
 Fiesta,2014,7090,Manual,28877,Petrol,0,65.7,1.0
 C-MAX,2017,10298,Manual,24379,Petrol,30,55.4,1.0
 Kuga,2015,13699,Manual,45180,Diesel,145,54.3,2.0
 C-MAX,2013,7295,Manual,15260,Petrol,30,55.4,1.0
 Focus,2017,17495,Manual,25739,Petrol,145,41.5,2.0
 Focus,2017,11800,Manual,21934,Diesel,150,74.3,1.5
 Kuga,2017,16298,Manual,35121,Diesel,145,54.3,2.0
 Focus,2017,17475,Manual,24550,Diesel,20,67.3,2.0
 Kuga,2014,9245,Manual,78800,Diesel,200,47.9,2.0
 Kuga,2019,21300,Semi-Auto,18333,Diesel,145,42.2,2.0
 Kuga,2017,13498,Manual,26597,Diesel,145,54.3,2.0
 C-MAX,2017,12570,Manual,19211,Petrol,30,55.4,1.0
 Fiesta,2018,11200,Manual,31336,Petrol,145,65.7,1.0
 Fiesta,2018,12000,Manual,7760,Petrol,145,65.7,1.0
 Grand C-MAX,2016,9995,Manual,14621,Petrol,30,54.3,1.0
 KA,2019,10499,Manual,308,Petrol,145,47.9,1.2
 C-MAX,2017,9698,Manual,36052,Diesel,150,68.9,1.5
 EcoSport,2018,12999,Manual,15608,Petrol,150,54.3,1.0
 Mondeo,2017,16991,Semi-Auto,36957,Diesel,150,56.5,2.0
 Fiesta,2015,5999,Manual,30540,Petrol,125,54.3,1.2
 C-MAX,2017,12998,Manual,3438,Diesel,150,68.9,1.5
 Kuga,2017,16698,Manual,14122,Diesel,125,60.1,2.0
 EcoSport,2017,10000,Manual,15800,Petrol,145,52.3,1.0
 Focus,2016,9799,Manual,22333,Diesel,0,74.3,1.5
 S-MAX,2019,23179,Manual,12036,Petrol,145,33.6,1.5
 Focus,2017,10498,Manual,22627,Diesel,150,74.3,1.5
 EcoSport,2018,14030,Manual,8000,Petrol,145,54.3,1.0
 Fiesta,2017,8997,Manual,17616,Petrol,125,54.3,1.2
 Fiesta,2015,7750,Manual,24000,Petrol,0,65.7,1.0
 Mondeo,2016,9491,Manual,60720,Diesel,0,78.5,1.5
 Ka+,2017,7695,Manual,6368,Petrol,145,57.7,1.2
 Focus,2019,15750,Manual,4637,Petrol,145,60.1,1.0
 Fiesta,2015,8499,Manual,22328,Petrol,0,65.7,1.0
 EcoSport,2017,10250,Manual,26892,Petrol,145,52.3,1.0
 Fiesta,2019,16350,Semi-Auto,9132,Petrol,150,48.7,1.0
 Fiesta,2016,8495,Manual,41966,Petrol,20,62.8,1.0
 Focus,2019,17999,Automatic,14989,Diesel,145,67.3,1.5
 Fiesta,2019,18499,Manual,6036,Petrol,145,40.3,1.5
 EcoSport,2018,14995,Semi-Auto,14902,Petrol,145,45.6,1.0
 Fiesta,2018,11885,Manual,11542,Petrol,145,56.5,1.0
 EcoSport,2018,13495,Semi-Auto,32000,Petrol,150,48.7,1.0
 Mondeo,2015,9140,Manual,53702,Diesel,0,78.5,1.6
 C-MAX,2017,11200,Manual,21467,Diesel,20,68.9,1.5
 Focus,2019,16294,Automatic,13000,Petrol,145,50.4,1.0
 Galaxy,2018,18000,Manual,37085,Diesel,145,56.5,2.0
 Focus,2019,16995,Manual,8720,Diesel,145,80.7,1.5
 Focus,2013,5390,Manual,60326,Diesel,20,67.3,1.6
 S-MAX,2019,33979,Semi-Auto,4988,Diesel,145,43.5,2.0
 Fiesta,2019,11170,Manual,8237,Petrol,145,58.9,1.0
 Kuga,2017,18200,Automatic,14171,Petrol,145,38.2,1.5
 Fiesta,2017,10481,Manual,23065,Petrol,145,65.7,1.0
 Fiesta,2018,14990,Manual,8895,Petrol,150,65.7,1.0
 C-MAX,2017,10110,Manual,15342,Diesel,20,68.9,1.5
 Focus,2017,8500,Manual,57517,Diesel,0,74.3,1.5
 C-MAX,2017,10890,Manual,19687,Diesel,20,68.9,1.5
 Fiesta,2014,9881,Manual,17610,Petrol,145,47.9,1.6
 Focus,2018,11999,Manual,13678,Petrol,145,57.7,1.0
 Fiesta,2007,1695,Manual,103000,Petrol,165,45.6,1.4
 Focus,2019,16600,Automatic,7000,Petrol,145,51.4,1.0
 EcoSport,2015,8298,Manual,24125,Petrol,125,52.3,1.0
 Focus,2019,16980,Manual,2705,Diesel,145,61.4,1.5
 Focus,2018,12200,Manual,12003,Petrol,150,60.1,1.0
 EcoSport,2018,14000,Manual,11902,Petrol,150,54.3,1.0
 Fiesta,2017,10246,Manual,14285,Petrol,20,62.8,1.0
 Focus,2019,17520,Manual,100,Petrol,145,60.1,1.0
 Fiesta,2020,16199,Manual,264,Petrol,145,58.9,1.0
 Focus,2018,19000,Manual,11923,Petrol,145,41.5,2.0
 Fiesta,2013,5995,Manual,43000,Petrol,30,54.3,1.2
 Focus,2014,10999,Manual,44537,Petrol,235,39.2,2.0
 Focus,2018,13490,Manual,26634,Diesel,145,74.3,1.5
 Fiesta,2009,4045,Manual,63400,Petrol,145,49.6,1.2
 Fiesta,2017,11500,Manual,8937,Petrol,0,65.7,1.0
 Focus,2019,16798,Manual,15305,Diesel,145,62.8,2.0
 Mondeo,2012,7499,Automatic,28139,Diesel,160,50.4,2.0
 Fiesta,2018,13000,Automatic,31190,Petrol,145,54.3,1.0
 EcoSport,2018,12499,Manual,14153,Petrol,145,53.3,1.0
 Focus,2017,11998,Manual,8308,Diesel,0,74.3,1.5
 Ka+,2017,8200,Manual,7616,Petrol,145,57.7,1.2
 B-MAX,2013,6051,Manual,26046,Petrol,145,47.1,1.4
 Fiesta,2017,8995,Manual,24195,Petrol,150,64.2,1.1
 Fiesta,2018,10300,Manual,26995,Petrol,145,64.2,1.1
 Focus,2016,9691,Manual,17915,Petrol,20,61.4,1.0
 Kuga,2018,15999,Manual,21688,Diesel,145,54.3,1.5
 Kuga,2019,20999,Automatic,12598,Petrol,145,31.0,1.5
 Fiesta,2017,8999,Manual,23048,Petrol,125,54.3,1.2
 Fiesta,2017,10187,Manual,7987,Petrol,145,65.7,1.0
 Fiesta,2017,9471,Manual,15984,Petrol,0,65.7,1.0
 Fiesta,2016,8998,Manual,27446,Petrol,0,65.7,1.0
 Focus,2013,5499,Manual,84000,Diesel,20,67.3,1.6
 Fiesta,2018,11830,Manual,13028,Petrol,145,58.9,1.0
 Fiesta,2019,16495,Manual,2000,Petrol,145,58.9,1.0
 Fiesta,2018,11479,Manual,12553,Petrol,145,65.7,1.0
 Fiesta,2018,10500,Manual,18266,Petrol,150,65.7,1.0
 Kuga,2016,12740,Manual,36215,Diesel,125,60.1,2.0
 Fiesta,2018,10400,Manual,18515,Petrol,145,65.7,1.0
 B-MAX,2017,9297,Manual,28636,Petrol,30,57.7,1.0
 Focus,2020,24999,Manual,4900,Petrol,145,34.5,2.3
 Focus,2018,13289,Manual,22058,Petrol,145,57.7,1.0
 Fiesta,2018,10990,Manual,12670,Petrol,145,56.5,1.0
 Mondeo,2017,12450,Manual,48664,Diesel,145,65.7,2.0
 Focus,2008,2900,Automatic,75800,Petrol,260,37.7,1.6
 Focus,2018,13600,Manual,16960,Petrol,145,57.7,1.0
 Focus,2018,11990,Manual,21567,Petrol,145,57.7,1.0
 Focus,2018,14400,Manual,7056,Diesel,145,80.7,1.5
 Fiesta,2018,10600,Manual,23060,Petrol,145,56.5,1.0
 Mondeo,2019,19500,Manual,7,Diesel,145,65.7,2.0
 Fiesta,2019,15490,Manual,5000,Petrol,145,60.1,1.0
 Focus,2018,18000,Manual,5909,Petrol,145,41.5,2.0
 Focus,2017,10998,Manual,14653,Diesel,0,74.3,1.5
 C-MAX,2014,6991,Manual,51768,Petrol,30,55.4,1.0
 Fiesta,2018,10990,Manual,13379,Petrol,145,58.9,1.0
 Kuga,2018,19400,Manual,9817,Diesel,145,47.9,2.0
 Focus,2017,11450,Manual,24521,Petrol,20,60.1,1.0
 Fiesta,2016,8999,Manual,32332,Petrol,125,54.3,1.2
 Focus,2018,13950,Manual,22188,Petrol,150,57.7,1.0
 Fiesta,2016,7500,Manual,44264,Petrol,0,65.7,1.0
 Fiesta,2016,7887,Manual,24153,Petrol,0,65.7,1.0
 Fiesta,2016,9281,Manual,43241,Petrol,20,62.8,1.0
 Fiesta,2018,9999,Manual,42415,Petrol,145,56.5,1.0
 Mondeo,2016,15000,Semi-Auto,25100,Diesel,125,57.7,2.0
 Fiesta,2017,10499,Manual,12190,Petrol,145,65.7,1.0
 Focus,2017,11200,Manual,15121,Petrol,20,58.9,1.0
 Fiesta,2018,11995,Manual,12906,Petrol,150,65.7,1.0
 C-MAX,2013,5880,Manual,46079,Diesel,30,61.4,1.6
 Focus,2017,18798,Manual,17691,Petrol,145,41.5,2.0
 Fiesta,2017,11499,Semi-Auto,19145,Petrol,0,57.7,1.0
 Fiesta,2016,9450,Manual,28600,Petrol,0,65.7,1.0
 Kuga,2015,13351,Manual,25000,Diesel,145,54.3,2.0
 Fiesta,2019,13199,Manual,1659,Petrol,145,48.7,1.1
 Kuga,2016,15000,Manual,29683,Diesel,125,60.1,2.0
 Focus,2018,11000,Manual,10822,Petrol,145,60.1,1.0
 Fiesta,2019,12999,Manual,5341,Petrol,145,58.9,1.0
 Focus,2018,13060,Manual,11710,Petrol,145,60.1,1.0
 EcoSport,2016,10995,Semi-Auto,16430,Petrol,160,44.8,1.5
 Focus,2011,6295,Manual,30000,Petrol,145,47.9,1.6
 B-MAX,2015,6777,Manual,30544,Petrol,30,55.4,1.0
 Fiesta,2017,8400,Manual,7024,Petrol,125,54.3,1.2
 Fiesta,2016,7160,Manual,40065,Diesel,0,88.3,1.5
 S-MAX,2017,18999,Manual,42500,Diesel,125,51.4,2.0
 Focus,2019,15300,Manual,12250,Petrol,145,60.1,1.0
 EcoSport,2018,15200,Manual,9892,Petrol,145,51.4,1.0
 Fiesta,2015,9495,Manual,42746,Petrol,145,47.9,1.6
 Fiesta,2017,8591,Manual,19295,Petrol,145,64.2,1.1
 Fiesta,2018,14296,Manual,16398,Petrol,145,55.4,1.0
 Ka+,2019,10780,Manual,2574,Petrol,145,47.9,1.2
 Ka+,2018,8995,Manual,10038,Petrol,145,57.7,1.2
 Kuga,2018,17890,Semi-Auto,39821,Diesel,145,54.3,2.0
 Galaxy,2019,23950,Automatic,600,Diesel,145,43.5,2.0
 Kuga,2017,11700,Manual,25971,Petrol,150,45.6,1.5
 Focus,2019,15450,Manual,10794,Petrol,145,60.1,1.0
 B-MAX,2017,9999,Manual,23211,Diesel,0,74.3,1.5
 Fiesta,2016,8700,Manual,48934,Petrol,145,47.9,1.6
 Fiesta,2018,10500,Manual,9684,Petrol,145,65.7,1.0
 Focus,2017,12240,Automatic,15540,Petrol,145,46.3,1.5
 Focus,2011,4999,Manual,99614,Petrol,145,47.9,1.6
 B-MAX,2014,6330,Manual,50410,Diesel,20,70.6,1.6
 KA,2006,1095,Manual,94400,Petrol,200,43.5,1.3
 Fiesta,2018,16199,Manual,13041,Petrol,145,40.3,1.5
 Focus,2017,12170,Semi-Auto,11634,Petrol,125,51.4,1.0
 Fiesta,2018,12840,Semi-Auto,9283,Petrol,145,48.7,1.0
 Fiesta,2016,8590,Manual,34300,Diesel,0,78.5,1.5
 Focus,2017,13350,Automatic,19167,Petrol,145,46.3,1.5
 Focus,2017,12998,Manual,17307,Diesel,145,74.3,1.5
 EcoSport,2017,10240,Manual,32399,Petrol,125,52.3,1.0
 Focus,2015,7099,Manual,74176,Diesel,0,74.3,1.5
 Fiesta,2018,11800,Manual,15997,Petrol,145,65.7,1.0
 Focus,2017,11998,Manual,29826,Diesel,0,74.3,1.5
 Focus,2016,9499,Manual,29299,Diesel,0,74.3,1.5
 Focus,2019,14991,Manual,13712,Petrol,145,58.9,1.0
 Fiesta,2018,9995,Manual,23421,Petrol,145,56.5,1.0
 C-MAX,2017,10698,Manual,17020,Petrol,150,55.4,1.0
 Focus,2017,11999,Manual,14662,Petrol,145,60.1,1.0
 EcoSport,2016,8995,Manual,39968,Petrol,125,52.3,1.0
 Fiesta,2015,9490,Semi-Auto,25860,Petrol,0,57.7,1.0
 Focus,2017,12990,Manual,11233,Diesel,145,74.3,1.5
 C-MAX,2014,9000,Manual,41261,Diesel,125,55.4,2.0
 Kuga,2017,14998,Manual,15389,Diesel,30,64.2,1.5
 Focus,2018,11677,Manual,10604,Petrol,145,60.1,1.0
 Fiesta,2018,12000,Manual,30418,Petrol,145,62.8,1.0
 Fiesta,2016,7298,Manual,31107,Petrol,125,54.3,1.2
 Focus,2018,13095,Manual,14295,Petrol,150,60.1,1.0
 C-MAX,2018,12000,Manual,11101,Petrol,145,44.1,1.6
 Kuga,2019,19900,Manual,2000,Petrol,145,34.4,1.5
 Fiesta,2014,5995,Manual,44523,Diesel,0,76.4,1.5
 Focus,2019,20400,Automatic,4365,Diesel,145,49.6,2.0
 Focus,2019,23000,Automatic,16700,Petrol,145,40.9,1.5
 S-MAX,2017,18490,Manual,47612,Diesel,125,51.4,2.0
 Fiesta,2016,9490,Manual,23698,Petrol,20,62.8,1.0
 Grand C-MAX,2017,10607,Manual,20366,Petrol,30,54.3,1.0
 C-MAX,2013,8782,Semi-Auto,24000,Diesel,165,50.4,2.0
 EcoSport,2019,13500,Manual,11349,Petrol,145,53.3,1.0
 Focus,2009,2995,Manual,98000,Diesel,145,54.3,1.8
 S-MAX,2016,14620,Manual,22231,Diesel,125,56.5,2.0
 KA,2010,2991,Manual,91811,Petrol,30,55.4,1.2
 C-MAX,2017,9899,Manual,26805,Diesel,145,68.9,1.5
 Focus,2019,15320,Manual,8739,Petrol,145,60.1,1.0
 Ka+,2017,7499,Manual,19616,Petrol,145,57.7,1.2
 Grand C-MAX,2016,11495,Manual,6679,Petrol,30,54.3,1.0
 EcoSport,2019,17994,Manual,2657,Petrol,145,51.4,1.0
 Focus,2014,7499,Manual,20798,Petrol,30,56.5,1.0
 Focus,2017,9998,Semi-Auto,32384,Petrol,125,51.4,1.0
 Focus,2015,8295,Manual,59451,Diesel,0,74.3,1.5
 Kuga,2016,14299,Automatic,24368,Diesel,145,52.3,2.0
 Kuga,2017,17500,Automatic,14511,Diesel,145,54.3,2.0
 Fiesta,2016,6950,Manual,29699,Petrol,125,54.3,1.2
 EcoSport,2014,7495,Manual,55000,Petrol,160,44.8,1.5
 Focus,2020,21490,Manual,295,Petrol,145,60.1,1.0
 Puma,2020,21495,Manual,1543,Petrol,145,50.4,1.0
 S-MAX,2016,18395,Automatic,33261,Petrol,260,35.8,2.0
 Kuga,2017,15950,Manual,24845,Diesel,145,60.1,2.0
 Fiesta,2019,14021,Automatic,5489,Petrol,145,48.7,1.0
 Fiesta,2014,7500,Manual,13585,Petrol,0,65.7,1.0
 Fiesta,2017,10495,Manual,24914,Petrol,145,65.7,1.0
 EcoSport,2019,16100,Manual,5673,Petrol,145,52.3,1.0
 Grand C-MAX,2017,10600,Manual,31125,Diesel,145,64.2,1.5
 Focus,2015,12998,Manual,25878,Diesel,20,67.3,2.0
 Fiesta,2016,9995,Manual,30468,Petrol,0,65.7,1.0
 Fiesta,2013,5498,Manual,53545,Petrol,30,54.3,1.2
 Fiesta,2019,11998,Manual,14358,Petrol,145,58.9,1.0
 S-MAX,2016,17490,Manual,33777,Diesel,125,56.5,2.0
 Fiesta,2018,10291,Manual,7983,Petrol,150,58.9,1.0
 Fiesta,2018,10600,Manual,21760,Petrol,145,65.7,1.0
 Fiesta,2017,9851,Manual,20400,Petrol,150,65.7,1.0
 Fiesta,2019,13130,Manual,151,Petrol,145,48.7,1.1
 Fiesta,2014,9000,Automatic,22311,Petrol,0,57.7,1.0
 Focus,2018,11500,Manual,23890,Diesel,145,74.3,1.5
 Fiesta,2016,8699,Manual,18841,Petrol,0,65.7,1.0
 Grand C-MAX,2012,5990,Manual,71848,Petrol,200,40.9,1.6
 Focus,2019,15000,Manual,22856,Petrol,145,49.6,1.0
 EcoSport,2019,15995,Manual,6100,Petrol,150,51.4,1.0
 Fiesta,2018,11000,Manual,10577,Petrol,145,58.9,1.0
 C-MAX,2016,8489,Manual,36820,Diesel,20,68.9,1.5
 Kuga,2018,16991,Manual,15956,Diesel,145,64.2,1.5
 Fiesta,2017,11450,Manual,5551,Petrol,20,62.8,1.0
 Focus,2018,13995,Manual,12521,Petrol,145,57.7,1.0
 Fiesta,2018,11290,Manual,15300,Petrol,150,65.7,1.0
 Kuga,2013,7999,Manual,78170,Diesel,200,47.9,2.0
 Kuga,2019,19990,Manual,6124,Diesel,150,47.9,2.0
 Focus,2014,8999,Manual,31335,Diesel,20,67.3,1.6
 B-MAX,2016,7995,Manual,21299,Diesel,20,70.6,1.6
 Fiesta,2018,10490,Manual,11785,Petrol,150,65.7,1.0
 Fiesta,2018,11500,Manual,15417,Petrol,145,65.7,1.0
 EcoSport,2018,14691,Manual,19041,Petrol,150,51.4,1.0
 Focus,2016,14790,Manual,33352,Petrol,205,41.5,2.0
 B-MAX,2014,6789,Semi-Auto,31000,Petrol,165,44.1,1.6
 EcoSport,2017,11000,Manual,21504,Petrol,150,52.3,1.0
 Focus,2017,11850,Manual,18466,Diesel,145,74.3,1.5
 Focus,2018,11997,Manual,11502,Petrol,145,61.4,1.0
 B-MAX,2017,10990,Manual,13890,Petrol,30,57.7,1.0
 Fiesta,2018,9000,Manual,16639,Petrol,145,64.2,1.1
 Fiesta,2018,8995,Manual,36000,Petrol,145,64.2,1.1
 Focus,2018,19315,Manual,16410,Petrol,145,41.5,2.0
 Focus,2018,17797,Manual,19642,Petrol,145,41.5,2.0
 Fiesta,2015,8400,Manual,16083,Petrol,0,65.7,1.0
 Fiesta,2017,8300,Manual,28871,Petrol,145,64.2,1.1
 Kuga,2019,21999,Manual,5900,Diesel,145,47.9,2.0
 Fiesta,2016,8990,Semi-Auto,12600,Petrol,145,47.9,1.6
 Fiesta,2018,9995,Manual,12873,Petrol,150,64.2,1.1
 Fiesta,2018,13795,Manual,4430,Petrol,145,62.8,1.0
 Kuga,2017,14998,Manual,9587,Diesel,150,60.1,2.0
 EcoSport,2018,13995,Manual,9720,Diesel,145,58.9,1.5
 Kuga,2018,16390,Manual,11807,Diesel,150,60.1,2.0
 Focus,2018,19500,Manual,17501,Petrol,145,41.5,2.0
