Compac,Surf_Area,Wall_Area,Roof,Height,Orient,Glaze_Area,Glaze_Distr,Cool_Load,Heat_Load
0.71,710.5,269.5,220.5,Short,East,0.0,0,11.72,Very Low
0.64,784.0,343.0,220.5,Short,West,0.4,4,22.49,Low
0.62,808.5,367.5,220.5,Short,South,0.25,5,14.61,Low
0.66,759.5,318.5,220.5,Short,East,0.1,1,13.72,Very Low
0.86,588.0,294.0,Large,Tall,South,0.0,0,23.49,Low
0.86,588.0,294.0,Large,Tall,South,0.1,2,27.36,Medium
0.86,588.0,294.0,Large,Tall,East,0.1,2,25.63,Medium
0.69,735.0,294.0,220.5,Short,South,0.4,3,16.99,Low
0.9,563.5,318.5,Medium,Tall,East,0.25,5,32.0,High
0.66,759.5,318.5,220.5,Short,South,0.25,1,16.39,Very Low
0.86,588.0,294.0,Large,Tall,East,0.25,4,34.19,High
0.66,759.5,318.5,220.5,Short,East,0.4,3,17.63,Low
0.82,612.5,318.5,Large,Tall,South,0.1,2,24.8,Medium
0.76,661.5,416.5,Medium,Tall,North,0.4,3,38.17,Very High
0.9,563.5,318.5,Medium,Tall,North,0.4,1,39.28,Very High
0.86,588.0,294.0,Large,Tall,South,0.4,3,30.11,High
0.74,686.0,245.0,220.5,Short,West,0.25,4,15.35,Very Low
0.71,710.5,269.5,220.5,Short,East,0.25,4,15.09,Very Low
0.76,661.5,416.5,Medium,Tall,East,0.4,3,38.48,Very High
0.82,612.5,318.5,Large,Tall,South,0.25,4,28.76,Medium
0.76,661.5,416.5,Medium,Tall,South,0.4,3,39.66,Very High
0.69,735.0,294.0,220.5,Short,North,0.1,2,13.2,Very Low
0.86,588.0,294.0,Large,Tall,North,0.25,4,29.45,High
0.86,588.0,294.0,Large,Tall,South,0.1,4,31.06,Medium
0.86,588.0,294.0,Large,Tall,West,0.1,3,27.4,Medium
0.71,710.5,269.5,220.5,Short,North,0.1,3,14.14,Very Low
0.69,735.0,294.0,220.5,Short,East,0.25,5,14.97,Very Low
0.86,588.0,294.0,Large,Tall,North,0.1,4,27.17,Medium
0.98,514.5,294.0,Small,Tall,East,0.1,2,25.63,Medium
0.82,612.5,318.5,Large,Tall,West,0.25,2,29.88,Medium
0.98,514.5,294.0,Small,Tall,North,0.0,0,21.33,Low
0.71,710.5,269.5,220.5,Short,West,0.4,3,16.1,Low
0.82,612.5,318.5,Large,Tall,East,0.1,4,28.61,Medium
0.62,808.5,367.5,220.5,Short,West,0.0,0,12.04,Very Low
0.71,710.5,269.5,220.5,Short,South,0.4,2,17.27,Low
0.74,686.0,245.0,220.5,Short,South,0.4,2,16.99,Low
0.62,808.5,367.5,220.5,Short,South,0.25,2,15.14,Low
0.82,612.5,318.5,Large,Tall,West,0.4,4,28.43,High
0.66,759.5,318.5,220.5,Short,West,0.25,1,16.19,Very Low
0.76,661.5,416.5,Medium,Tall,West,0.1,1,33.67,High
0.86,588.0,294.0,Large,Tall,North,0.4,5,29.69,High
0.79,637.0,343.0,Large,Tall,West,0.1,1,43.33,Very High
0.74,686.0,245.0,220.5,Short,East,0.4,2,16.93,Low
0.66,759.5,318.5,220.5,Short,North,0.4,1,18.14,Low
0.74,686.0,245.0,220.5,Short,North,0.25,3,14.49,Very Low
0.66,759.5,318.5,220.5,Short,South,0.4,1,18.14,Low
0.66,759.5,318.5,220.5,Short,South,0.1,1,13.88,Very Low
0.82,612.5,318.5,Large,Tall,North,0.25,4,26.3,Medium
0.64,784.0,343.0,220.5,Short,East,0.4,4,21.54,Low
0.69,735.0,294.0,220.5,Short,North,0.4,5,16.63,Low
0.79,637.0,343.0,Large,Tall,South,0.1,1,34.43,Very High
0.69,735.0,294.0,220.5,Short,East,0.1,4,14.49,Very Low
0.64,784.0,343.0,220.5,Short,South,0.4,3,21.54,Low
0.82,612.5,318.5,Large,Tall,East,0.25,2,26.96,Medium
0.71,710.5,269.5,220.5,Short,North,0.4,4,16.85,Low
0.79,637.0,343.0,Large,Tall,South,0.1,4,41.86,High
0.76,661.5,416.5,Medium,Tall,East,0.1,4,33.62,High
0.76,661.5,416.5,Medium,Tall,North,0.4,1,39.55,Very High
0.64,784.0,343.0,220.5,Short,East,0.4,3,20.72,Low
0.71,710.5,269.5,220.5,Short,West,0.25,1,15.81,Very Low
0.66,759.5,318.5,220.5,Short,East,0.0,0,12.23,Very Low
0.62,808.5,367.5,220.5,Short,South,0.4,5,16.61,Low
0.82,612.5,318.5,Large,Tall,East,0.1,5,24.77,Medium
0.71,710.5,269.5,220.5,Short,South,0.1,1,13.87,Very Low
0.82,612.5,318.5,Large,Tall,South,0.25,1,27.25,Medium
0.62,808.5,367.5,220.5,Short,North,0.1,5,14.24,Very Low
0.76,661.5,416.5,Medium,Tall,West,0.1,2,33.78,High
0.66,759.5,318.5,220.5,Short,South,0.25,5,15.8,Very Low
0.71,710.5,269.5,220.5,Short,East,0.1,2,14.11,Very Low
0.98,514.5,294.0,Small,Tall,West,0.25,2,30.02,High
0.66,759.5,318.5,220.5,Short,East,0.1,2,14.75,Very Low
0.86,588.0,294.0,Large,Tall,East,0.4,3,34.7,High
0.86,588.0,294.0,Large,Tall,West,0.4,4,31.0,High
0.62,808.5,367.5,220.5,Short,West,0.1,5,14.15,Very Low
0.64,784.0,343.0,220.5,Short,North,0.25,3,19.87,Low
0.98,514.5,294.0,Small,Tall,West,0.4,1,33.04,High
0.98,514.5,294.0,Small,Tall,West,0.1,1,26.29,Medium
0.71,710.5,269.5,220.5,Short,North,0.25,2,14.91,Very Low
0.66,759.5,318.5,220.5,Short,East,0.25,1,16.27,Very Low
0.64,784.0,343.0,220.5,Short,West,0.1,2,19.3,Low
0.69,735.0,294.0,220.5,Short,South,0.25,3,15.44,Very Low
0.66,759.5,318.5,220.5,Short,South,0.1,4,15.0,Very Low
0.86,588.0,294.0,Large,Tall,North,0.1,2,30.91,Medium
0.71,710.5,269.5,220.5,Short,North,0.25,5,15.27,Very Low
0.98,514.5,294.0,Small,Tall,South,0.25,1,29.28,High
0.9,563.5,318.5,Medium,Tall,West,0.25,2,37.72,High
0.79,637.0,343.0,Large,Tall,West,0.1,2,42.86,Very High
0.74,686.0,245.0,220.5,Short,West,0.1,4,13.53,Very Low
0.76,661.5,416.5,Medium,Tall,South,0.25,5,35.73,Very High
0.71,710.5,269.5,220.5,Short,East,0.1,1,14.28,Very Low
0.69,735.0,294.0,220.5,Short,East,0.4,1,17.0,Low
0.69,735.0,294.0,220.5,Short,South,0.0,0,11.73,Very Low
0.62,808.5,367.5,220.5,Short,West,0.4,5,16.03,Low
0.9,563.5,318.5,Medium,Tall,North,0.1,5,29.82,High
0.76,661.5,416.5,Medium,Tall,West,0.4,3,40.1,Very High
0.66,759.5,318.5,220.5,Short,South,0.1,5,14.65,Very Low
0.66,759.5,318.5,220.5,Short,West,0.4,4,18.24,Low
0.79,637.0,343.0,Large,Tall,East,0.1,1,35.28,Very High
0.9,563.5,318.5,Medium,Tall,North,0.25,5,32.25,High
0.74,686.0,245.0,220.5,Short,North,0.1,1,13.43,Very Low
0.82,612.5,318.5,Large,Tall,West,0.4,3,29.64,High
0.82,612.5,318.5,Large,Tall,West,0.1,2,28.79,Medium
0.82,612.5,318.5,Large,Tall,West,0.0,0,24.93,Low
0.66,759.5,318.5,220.5,Short,South,0.4,4,18.36,Low
0.66,759.5,318.5,220.5,Short,East,0.4,1,18.03,Low
0.79,637.0,343.0,Large,Tall,East,0.25,1,37.81,Very High
0.69,735.0,294.0,220.5,Short,North,0.25,2,15.52,Very Low
0.69,735.0,294.0,220.5,Short,East,0.1,3,14.27,Very Low
0.86,588.0,294.0,Large,Tall,West,0.25,5,33.47,High
0.98,514.5,294.0,Small,Tall,South,0.4,3,33.86,High
0.98,514.5,294.0,Small,Tall,East,0.25,4,29.59,High
0.64,784.0,343.0,220.5,Short,North,0.1,4,19.24,Low
0.62,808.5,367.5,220.5,Short,East,0.1,5,13.97,Very Low
0.98,514.5,294.0,Small,Tall,North,0.4,4,32.95,High
0.86,588.0,294.0,Large,Tall,West,0.1,5,31.28,Medium
0.74,686.0,245.0,220.5,Short,South,0.25,5,14.81,Very Low
0.98,514.5,294.0,Small,Tall,East,0.1,5,25.98,Medium
0.82,612.5,318.5,Large,Tall,West,0.1,1,28.51,Medium
0.9,563.5,318.5,Medium,Tall,West,0.1,4,29.92,High
0.62,808.5,367.5,220.5,Short,South,0.4,2,16.86,Low
0.79,637.0,343.0,Large,Tall,East,0.1,4,43.3,Very High
0.71,710.5,269.5,220.5,Short,North,0.0,0,11.27,Very Low
0.86,588.0,294.0,Large,Tall,South,0.1,1,27.03,Medium
0.79,637.0,343.0,Large,Tall,West,0.4,3,38.23,Very High
0.98,514.5,294.0,Small,Tall,South,0.1,5,25.88,Medium
0.74,686.0,245.0,220.5,Short,North,0.1,4,13.2,Very Low
0.66,759.5,318.5,220.5,Short,West,0.0,0,12.14,Very Low
0.62,808.5,367.5,220.5,Short,East,0.25,1,15.95,Low
0.9,563.5,318.5,Medium,Tall,East,0.25,4,37.12,High
0.62,808.5,367.5,220.5,Short,West,0.1,4,14.47,Very Low
0.76,661.5,416.5,Medium,Tall,East,0.25,2,37.35,Very High
0.66,759.5,318.5,220.5,Short,South,0.25,4,16.17,Very Low
0.9,563.5,318.5,Medium,Tall,North,0.1,1,32.92,High
0.69,735.0,294.0,220.5,Short,West,0.25,5,14.6,Very Low
0.82,612.5,318.5,Large,Tall,North,0.4,5,29.93,High
0.76,661.5,416.5,Medium,Tall,West,0.4,4,40.77,Very High
0.76,661.5,416.5,Medium,Tall,South,0.25,4,37.05,Very High
0.86,588.0,294.0,Large,Tall,East,0.4,1,30.66,High
